Judul,Penulis,Terbit
On the category of weakly U-complexes,"G Elfiyanti, I Muchtadi-Alamsyah, F Yuliawan, D Nasution","European Journal of Pure and Applied Mathematics 13 (2), 323-345, 2020"
Sifat aditif kategori homotopi kompleks-U,G Elfiyanti,"LOGIK@ 6 (1), 62-70, 2016"
Derived Category of Weakly  U-Complex,"F Yuliawan, I Mucthadi-Alamsyah, V Pratama, G Elfiyanti","U, 0"
"Rantai Kompleks, U-Kompleks, dan (U, U’)-Pemetaan dari ℤn","U Amartiwi, G Elfiyanti",
Analisis Peningkatan Kualitas Pelayanan dengan Quality Function Deployment (QFD) pada Laboratorium Matematika Pusat Laboratorium Terpadu,"Y Irene, B Ruswandi","Jurnal Matematika Integratif 9 (2), 147-60, 2013"
"World Gold Price Forecast using APARCH, EGARCH and TGARCH Model","Y Irene, MY Wijaya, A Muhayani","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (2), 71-78, 2020"
Classification of tuberculosis and pneumonia in human lung based on chest x-ray image using convolutional neural network,"M Liebenlito, Y Irene, A Hamid","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (1), 24-32, 2020"
"On rainbow connection and strong rainbow connection number of amalgamation of prism graph P3, 2","CDR Palupi, W Aribowo, Y Irene, I Hasanah","Journal Of Physics: Conference Series 1008 (1), 012052, 2018"
Rainbow connection number on amalgamation of general prism graph,"RH Yandera, Y Irene, W Aribowo","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (1), 40-47, 2019"
RAINBOW CONNECTION NUMBER DAN STRONG RAINBOW CONNECTION NUMBER PADA SHACKLE GRAF ANTIPRISMA,"D Andira, Y Irene, I Hasanah",
"PELABELAN TOTAL SISI (a, d) ANTIAJAIB SUPER PADA GRAF P_3 U P_n",Y Irene,"LOGIK@ 6 (2), 152-160, 2016"
"PELABELAN TOTAL (a, d)-C_3-ANTIAJAIB SUPER PADA GRAF ULAR S_n","L Rezekina, N Inayah, Y Irene","LOGIK@ 6 (1), 42-52, 2016"
"On Super (a, d)-C_3-Antimagic Total Labeling of Dutch Windmill Graph D_3^ m","Y Irene, M Mahmudi, N Nurmaleni","Mathline: Jurnal Matematika dan Pendidikan Matematika 9 (1), 189-204, 2024"
Perbandingan Model Klasifikasi Transfer Learning Convolutional Neural Network Tumor Otak menggunakan Citra Magnetic Resonance Imaging,"N Pratama, M Liebenlito, Y Irene","Jurnal Sehat Indonesia (JUSINDO) 6 (01), 308-318, 2024"
